mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample_for_bin,param_subsample,param_num_leaves,param_n_estimators,param_min_child_weight,param_min_child_samples,param_max_depth,param_learning_rate,param_lambda_l2,param_lambda_l1,param_colsample_bytree,param_boosting_type,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
15.138306776682535,0.7851439095596909,0.024363358815511067,0.006580063773034283,10000,0.5,45,1800,12,20,5,0.02,12,4,0.6,goss,"{'subsample_for_bin': 10000, 'subsample': 0.5, 'num_leaves': 45, 'n_estimators': 1800, 'min_child_weight': 12, 'min_child_samples': 20, 'max_depth': 5, 'learning_rate': 0.02, 'lambda_l2': 12, 'lambda_l1': 4, 'colsample_bytree': 0.6, 'boosting_type': 'goss'}",-4.235868710436788,-3.7022602244076213,-4.1201895027366815,-4.0194394791936965,0.22919777416533918,17,-3.6732531169984,-3.7944804037934077,-3.8083588489403355,-3.7586974565773814,0.060683354029971166
12.448084433873495,1.6215453356025138,0.02535899480183919,0.007144739043225094,20000,0.6,45,1800,12,10,4,0.001,14,5,0.8,goss,"{'subsample_for_bin': 20000, 'subsample': 0.6, 'num_leaves': 45, 'n_estimators': 1800, 'min_child_weight': 12, 'min_child_samples': 10, 'max_depth': 4, 'learning_rate': 0.001, 'lambda_l2': 14, 'lambda_l1': 5, 'colsample_bytree': 0.8, 'boosting_type': 'goss'}",-4.652518996667727,-5.1201900505592715,-5.142675897294655,-4.971794981507218,0.22594876882053297,54,-4.502670147983134,-5.161423037281886,-5.150260173633475,-4.9381177862994985,0.3079417008327849
13.218008518218994,1.1079927265738692,0.021836042404174805,0.009125993412825554,20000,0.3,15,1800,16,20,4,0.01,15,4,0.8,goss,"{'subsample_for_bin': 20000, 'subsample': 0.3, 'num_leaves': 15, 'n_estimators': 1800, 'min_child_weight': 16, 'min_child_samples': 20, 'max_depth': 4, 'learning_rate': 0.01, 'lambda_l2': 15, 'lambda_l1': 4, 'colsample_bytree': 0.8, 'boosting_type': 'goss'}",-4.223425218251494,-3.9752842181892625,-4.1890424828446085,-4.129250639761788,0.1097718462764217,27,-4.079144895308707,-4.038483938062106,-3.986187181932188,-4.034605338434333,0.03804879998416206
16.031239986419678,2.5729110317732746,0.011462529500325521,0.002990299782674727,20000,0.6,15,1800,14,10,6,0.02,12,5,0.7,goss,"{'subsample_for_bin': 20000, 'subsample': 0.6, 'num_leaves': 15, 'n_estimators': 1800, 'min_child_weight': 14, 'min_child_samples': 10, 'max_depth': 6, 'learning_rate': 0.02, 'lambda_l2': 12, 'lambda_l1': 5, 'colsample_bytree': 0.7, 'boosting_type': 'goss'}",-4.051108891845357,-3.7223338419289087,-3.924160860813234,-3.899201198195833,0.13537724311560295,4,-3.635429294298839,-3.836590212732089,-3.734600675605762,-3.735540060878897,0.08212628734554978
13.574386835098267,1.6175325316633147,0.020739237467447918,0.010946092690110777,5000,0.5,15,1600,14,20,5,0.03,14,5,0.6,goss,"{'subsample_for_bin': 5000, 'subsample': 0.5, 'num_leaves': 15, 'n_estimators': 1600, 'min_child_weight': 14, 'min_child_samples': 20, 'max_depth': 5, 'learning_rate': 0.03, 'lambda_l2': 14, 'lambda_l1': 5, 'colsample_bytree': 0.6, 'boosting_type': 'goss'}",-4.076423049731563,-3.812302958338155,-4.0596513681311635,-3.982792458733627,0.12074856696112957,12,-3.708747455989379,-3.770388221142419,-3.727852262899483,-3.7356626466770937,0.02576363785426062
14.026156902313232,0.9349860198655116,0.02043779691060384,0.007735784677201673,20000,0.4,30,1800,12,10,6,0.001,12,2,0.7,goss,"{'subsample_for_bin': 20000, 'subsample': 0.4, 'num_leaves': 30, 'n_estimators': 1800, 'min_child_weight': 12, 'min_child_samples': 10, 'max_depth': 6, 'learning_rate': 0.001, 'lambda_l2': 12, 'lambda_l1': 2, 'colsample_bytree': 0.7, 'boosting_type': 'goss'}",-5.1800131163123,-5.1201900505592715,-5.142675897294655,-5.1476263547220755,0.024672252573533157,60,-5.1314452904840335,-5.161423037281886,-5.150260173633475,-5.147709500466465,0.012370550404696883
12.851799885431925,1.5019607468627747,0.014097849527994791,0.0077272579231849985,20000,0.5,15,1600,14,20,6,0.03,14,5,0.8,goss,"{'subsample_for_bin': 20000, 'subsample': 0.5, 'num_leaves': 15, 'n_estimators': 1600, 'min_child_weight': 14, 'min_child_samples': 20, 'max_depth': 6, 'learning_rate': 0.03, 'lambda_l2': 14, 'lambda_l1': 5, 'colsample_bytree': 0.8, 'boosting_type': 'goss'}",-4.078183290065372,-3.9789107516041082,-3.8927941319630754,-3.9832960578775185,0.07574830325405875,13,-3.6108809920103346,-3.832838045367217,-3.6974941284248457,-3.7137377219341325,0.09133865239239691
12.345927317937216,1.2651757507435173,0.00874797503153483,8.090095104202603e-05,10000,0.5,30,1600,12,10,6,0.02,14,4,0.7,goss,"{'subsample_for_bin': 10000, 'subsample': 0.5, 'num_leaves': 30, 'n_estimators': 1600, 'min_child_weight': 12, 'min_child_samples': 10, 'max_depth': 6, 'learning_rate': 0.02, 'lambda_l2': 14, 'lambda_l1': 4, 'colsample_bytree': 0.7, 'boosting_type': 'goss'}",-4.293647248967315,-3.6321216516393955,-3.9710490766585558,-3.9656059924217555,0.2700941186013028,11,-3.7592833809732324,-3.853740902661221,-3.752856625787485,-3.788626969807313,0.04611719841398172
11.384239673614502,0.6626106768091818,0.01258691151936849,0.005515427606582378,10000,0.5,15,1600,14,15,4,0.03,15,2,0.6,goss,"{'subsample_for_bin': 10000, 'subsample': 0.5, 'num_leaves': 15, 'n_estimators': 1600, 'min_child_weight': 14, 'min_child_samples': 15, 'max_depth': 4, 'learning_rate': 0.03, 'lambda_l2': 15, 'lambda_l1': 2, 'colsample_bytree': 0.6, 'boosting_type': 'goss'}",-4.052880126598141,-3.732008121023401,-4.001802478499292,-3.9288969087069447,0.14077435270779762,5,-3.590519032546259,-3.774202474238334,-3.58654560162254,-3.6504223694690445,0.08754078208031069
9.950095574061075,1.2383359902409277,0.027991453806559246,0.027632544821409335,10000,0.3,45,1600,16,20,4,0.01,14,5,0.6,goss,"{'subsample_for_bin': 10000, 'subsample': 0.3, 'num_leaves': 45, 'n_estimators': 1600, 'min_child_weight': 16, 'min_child_samples': 20, 'max_depth': 4, 'learning_rate': 0.01, 'lambda_l2': 14, 'lambda_l1': 5, 'colsample_bytree': 0.6, 'boosting_type': 'goss'}",-5.1800131163123,-3.95163062739733,-4.28099557076658,-4.470879771492069,0.5191485927504141,45,-5.1314452904840335,-4.102113861108246,-4.0041944435163,-4.412584531702859,0.5098808004308261
11.074232975641886,2.0047780455837154,0.014260609944661459,0.009354259920314592,10000,0.4,45,1600,16,15,6,0.03,15,5,0.7,goss,"{'subsample_for_bin': 10000, 'subsample': 0.4, 'num_leaves': 45, 'n_estimators': 1600, 'min_child_weight': 16, 'min_child_samples': 15, 'max_depth': 6, 'learning_rate': 0.03, 'lambda_l2': 15, 'lambda_l1': 5, 'colsample_bytree': 0.7, 'boosting_type': 'goss'}",-5.1800131163123,-4.032917439884318,-4.260733053577301,-4.491221203257973,0.4958499188782545,53,-5.1314452904840335,-4.019735486483528,-3.992498962007466,-4.3812265796583425,0.5306012580843893
